Topic,Top Terms,
Topic 0,"first, shot, today, feel, day, second, dose, be, arm, side, effect, nd, good, one, week, im, year, pfizer, wait, hour, jab, receive, booster, happy, time, yesterday, last, ive, finally, st",vaccination_side_effect_sore_arm
Topic 1,"show, slot, school, mandate, worker, health, require, city, new, aid, can, state, location, covid, care, employee, rite, va, teacher, county, home, public, student, hill, medical, hampton, bell, park, resident, staff",school_student_public_resident_staff_health_aid_mandate
Topic 2,"country, world, need, we, government, good, make, covid, plan, big, would, people, pandemic, rollout, global, uk, health, eu, million, supply, lead, could, distribution, company, access, help, public, develop, many, give ",country_government_covid_plan_health_pandemic_uk_global_supply_company
Topic 3,"people, mask, need, know, one, want, wear, would, make, virus, think, protect, die, safe, even, life, kid, many, child, stop, you, be, risk, please, dont, keep, right, test, good, see ",mask_virus_protect_die_safe_child_test
Topic 4,"covid, pfizer, trial, study, effective, use, approve, datum, effect, risk, johnson, child, variant, new, fda, people, mrna, side, year, safe, show, approval, report, immune, moderna, immunity, booster, find, shot, death ",pfizer_trial_effective_approve_variant_new_fda_immune_booster_death
Topic 5,"dose, slot, free, pay, availability, progress, second, nd, st, first, source, use, api, vaxblr, datum, aged, pincode, avaliable, krispykreme, attention, donut, congrat, pub, instruction, celliottability, nyc, two, discuss, counter, largely ",dose_slot_pincode_krispykreme_donut_pub_VaxBlr_Celliottabilit
Topic 6,"people, know, want, think, would, we, make, tell, lie, trump, cant, try, stop, die, government, potus, need, right, dont, kill, believe, let, you, use, come, time, call, see, give, many ",Ttrump_Potus_government_lie_stop_die_kill
Topic 7,"appointment, clinic, book, walk, booster, dose, today, need, find, first, week, jab, second, st, nd, covid, aged, available, centre, eligible, open, pfizer, you, site, old, call, age, visit, year, offer ",appointment_clinic_walk_booster_dose_center_open
Topic 8,"case, day, dose, new, covid, million, people, death, report, receive, administer, first, one, last, number, total, india, fully, week, country, population, test, rate, month, uk, state, per, we, year, since ",case_dose_million_death_rate_receive_India_rate_uk_state_population
Topic 9,"covid, india, health, dose, first, drive, minister, state, centre, delhi, government, hospital, mohfw_india, narendramodi, show, crore, new, administer, govt, age, road, citizen, today, worker, pmoindia, year, group, receive, indian, april", India_Delhi_Mohfw_Narendramodi_health_dose_hospital
Topic 10,"thank, work, today, help, please, great, community, thanks, staff, family, team, see, care, safe, one, protect, receive, everyone, we, make, patient, first, people, well, health, proud, keep, worker, part, love ",thank_help_great_community_staff_worker_family_team_safe_protect_proud_love
Topic 11,"question, covid, share, read, video, information, please, answer, check, watch, we, ask, expert, talk, important, help, late, news, join, new, people, know, good, post, great, make, look, article, fact, discuss ",question_share_read_video_information_answer_check_expert_news_post_article_fact